CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
Adam Comsof,3237,Adam Comsof Ltd,Trading,Trading - Medium / Small
S Kumars Nation,3240,S.Kumars Nationwide Ltd,Textiles,Textiles - Weaving
Pion. Embroider.,3241,Pioneer Embroideries Ltd,Textiles,Textiles - Embroidery Fabric
Prima Agro,3242,Prima Agro Ltd,Miscellaneous,Miscellaneous - Medium / Small
Shervani Indl Sy,3243,Shervani Industrial Syndicate Ltd,Realty,Construction - Factories / Offices / Commercial
Crazy Infotech,3250,Crazy Infotech Ltd,IT - Hardware,Computers - Hardware - Medium / Small
Vesuvius India,3251,Vesuvius India Ltd,Refractories,Refractories / Intermediates
Asahi Infrastr.,3252,Asahi Infrastructure & Projects Ltd,Construction,Construction - Housing - Medium / Small
Solid Carbide,3253,Solid Carbide Tools Ltd,Capital Goods-Non Electrical Equipment,Machine Tools - Tungsten carbide
Ashram Online,3256,Ashram Online.com Ltd,Construction,Construction - Factories / Offices / Commercial
CDI Internationa,3260,CDI International Ltd,Entertainment,Entertainment - Electronic Media
Shubham Industri,3264,Shubham Industries Ltd,Cement,Cement - Mini - North India
Royal Cush. Vin.,3265,Royal Cushion Vinyl Products Ltd,Plastic products,Plastics - Flooring
Mindteck (India),3266,Mindteck (India) Ltd,IT - Software,Computers - Software - Medium / Small
Neogem India,3268,Neogem India Ltd,"Diamond, Gems and Jewellery",Diamond Cutting / Jewellery - Medium / Small
Multibase India,3272,Multibase India Ltd,Plastic products,Plastics - Others
Pidilite Inds.,3274,Pidilite Industries Ltd,Chemicals,Chemicals - Organic - Large
Ready Foods,3276,Ready Foods Ltd,FMCG,Food - Processing - Fruit Processing
Pasari Spinning,3277,Pasari Spinning Mills Ltd,Textiles,Textiles - Cotton Yarn - Open-Ended Spinning
Diamond Power,3280,Diamond Power Infrastructure Ltd,Cables,Cables - Power - Large
K S Oils,3282,K S Oils Ltd,Edible Oil,Solvent Extraction - Medium / Small
Jaihind Synth,3283,Jaihind Synthetics Ltd,Textiles,Textiles - Texturising
Aditya Forge,3284,Aditya Forge Ltd,"Castings, Forgings & Fastners",Forgings - Medium / Small
Vimta Labs,3285,Vimta Labs Ltd,Miscellaneous,Miscellaneous - Medium / Small
Cromakem,3286,Cromakem Ltd,Capital Goods-Non Electrical Equipment,Pollution Control Equipment
Synthiko Foils,3287,Synthiko Foils Ltd,Non Ferrous Metals,Aluminium
