CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carborundum Uni.,,,,83.5,154.98,171.59,177.12,130.9,94.1,107.09,104.06,65.57,76.68,98.12,197.96,595.66,1443.66,1372.71,1006.31,731.86,1586.02,2136.73,2924.38,2226.31,2745.0,3544.35,3306.06,5489.95,6565.72,7682.5,4159.49,9653.02,15148.67,18801.6
CEAT,140.22,122.18,384.62,233.63,461.02,,285.2,167.25,83.98,71.3,183.09,73.94,89.96,89.61,127.81,346.47,300.21,489.93,373.22,118.98,510.86,353.01,302.85,320.83,1584.94,3254.82,4385.4,5356.2,6074.59,4547.6,3183.83,6315.27,3769.14,5865.87
ITD Cem,,12.16,38.4,17.28,96.0,256.0,174.08,109.31,52.74,118.48,129.08,64.54,60.16,95.89,154.44,116.01,342.34,379.84,799.83,97.17,228.5,288.0,137.32,274.98,161.28,765.01,1703.63,2306.42,3380.11,2259.87,509.35,1333.07,1082.26,1797.76
Century Enka,,558.24,1465.38,512.88,1221.15,721.06,396.58,240.51,228.38,101.13,165.06,162.05,151.08,232.56,333.23,376.33,348.37,250.32,217.24,127.32,571.81,397.45,243.3,220.36,311.47,327.09,378.22,933.87,658.89,551.28,258.7,553.57,1215.84,751.31
Century Textiles,,,4003.46,2608.64,3833.1,2628.38,2802.83,965.29,643.84,279.12,396.82,300.98,308.89,394.49,885.28,2081.3,4131.91,5073.47,6785.41,2045.95,4735.74,3256.87,3429.45,2677.69,3374.1,6468.07,5905.35,11764.91,12791.95,10416.18,3303.96,5190.5,9531.55,7082.06
Chettinad Cement,,,,,,0.01,0.01,,,,,,0.01,0.01,0.01,0.02,0.05,0.07,0.07,0.07,0.08,0.09,0.11,0.13,,,,,,,,,,
Exide Inds.,185.89,222.04,444.08,191.06,258.18,154.91,136.32,298.43,344.56,731.55,442.82,264.25,231.92,263.51,915.9,1061.63,1969.13,3198.75,5368.0,3316.0,10548.5,12133.75,12656.5,10982.0,10280.75,15104.5,11870.25,19035.75,18865.75,18585.25,11156.25,15601.75,12839.25,15130.0
Chowgule Steam,31.5,27.08,295.44,98.48,87.21,127.18,53.13,41.83,17.18,10.4,20.33,16.34,12.35,10.89,40.41,73.89,92.05,82.06,141.25,79.16,152.68,130.17,75.34,41.32,37.0,86.96,50.11,54.28,46.11,29.16,11.07,19.03,46.66,43.54
Cipla,51.0,69.0,162.75,158.61,956.33,1165.63,746.0,1164.42,1332.33,2798.6,6722.34,5989.8,6104.65,4284.56,7016.19,7640.18,19848.57,18319.78,17080.07,17080.07,27065.76,25777.1,24452.32,30490.13,30807.27,57106.55,41149.34,47651.13,43738.1,42645.77,34103.75,65746.92,82174.01,72696.02
Citurgia Biochem,33.38,35.49,118.3,54.08,64.22,49.01,32.11,16.06,10.73,7.27,12.56,7.44,5.76,2.86,3.45,5.2,6.76,5.49,,,475.54,280.57,423.37,,,,,,,,,,,
Clutch Auto,6.76,5.07,33.78,7.88,20.27,23.65,14.08,10.06,7.94,7.01,9.31,6.0,3.44,3.75,9.73,61.96,224.89,151.02,101.2,26.1,104.75,88.57,51.87,32.83,23.58,24.58,,,,,,,,
