CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Syschem (India),,,,,,,3.19,,,,3.07,,,3.81,3.26,,,,,,12.43,14.9,23.71,27.21,13.21,11.42,10.23,15.91,18.42,17.48,14.24,16.16,26.78,152.56
Shri Bholanath,,,,,,,3.28,2.88,0.72,5.52,,0.67,,,2.12,3.1,,,,,,4.08,,,,,3.17,3.21,3.92,,,,9.0,
IndiaNivesh,,,,,,,,1.87,1.73,,,1.8,,,,,,,300.75,243.81,141.54,146.45,154.47,159.31,159.87,166.1,176.1,147.23,142.32,251.79,137.41,34.92,66.25,139.18
Citizen Infoline,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,2.73,2.38,2.05,2.1,1.56,2.31,11.71,17.1
Kobo Biotech,,,,,,,,,,12.75,46.55,7.07,16.51,27.71,29.06,38.09,53.71,17.32,50.18,32.74,92.03,77.63,69.19,31.95,19.82,60.53,67.26,17.23,22.4,10.96,6.89,17.63,13.1,4.53
Sadhna Broadcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,13.59,,10.63,28.07,47.83
Kanoria Plaschem,,,,,,,2.43,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshield Chem.,,,,,,,6.99,,2.94,3.68,3.2,,,2.08,1.21,11.28,23.18,18.2,13.9,8.09,36.4,36.21,21.07,37.79,117.47,231.77,241.11,205.89,208.46,118.94,49.85,142.76,455.15,418.87
Garnet Intl.,,,,,,,,,,1.49,16.47,50.62,15.7,5.3,6.58,2.98,10.88,27.91,26.65,7.97,48.08,105.62,42.45,45.48,57.88,46.35,119.24,375.98,457.07,103.5,64.89,47.03,108.39,113.69
Chembond Chem.,,,,,,,4.16,5.55,5.7,5.1,5.19,4.32,5.25,5.25,6.98,14.37,40.56,58.28,53.45,32.51,84.91,123.7,115.75,97.24,88.58,227.77,279.46,246.98,412.26,429.94,198.16,255.38,240.72,340.65
Diligent Indust.,,,,,,,1.8,0.38,0.33,,,0.87,,,,,,,,,,,2.63,5.08,27.17,104.58,33.16,45.86,36.37,17.31,,18.76,195.1,89.32
Clarity Financ,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archit Organosys,,,,,,,,,,,0.61,,,,,,,,,13.08,,3.22,,,3.22,3.86,15.2,71.85,59.27,19.08,8.71,37.18,80.13,123.92
Steel City Sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93,125.09,89.51,27.12,53.1,88.53,95.4
Suprajit Engg.,,,,,,,,,,,,,,19.14,59.04,88.32,223.92,204.0,93.36,44.94,192.6,223.8,237.0,400.8,815.4,1545.6,1733.67,3165.26,3910.83,3409.39,1549.79,3852.09,4732.77,4773.85
Rander Corpn.,,,,,,,1.75,1.0,,,,,1.63,,1.3,1.1,1.5,2.45,3.04,1.92,5.34,89.22,73.48,218.17,859.89,43.43,17.15,17.89,,,,,10.05,6.07
Indian Bank,,,,,,,,,,,,,,,,,,3876.53,7000.95,3552.05,7555.36,9990.0,10301.59,7452.21,5355.07,8306.64,5028.65,13424.15,14379.93,13376.12,2623.93,13128.89,19154.88,35881.16
Geojit Fin. Ser.,,,,,,,,,,,64.92,17.46,12.3,11.49,52.23,118.72,311.93,730.46,958.27,425.58,829.1,516.18,435.1,439.67,508.19,1204.35,729.36,1399.14,2172.94,984.16,433.71,1197.83,1493.73,954.22
O N G C,,,,,,,30229.72,29409.81,39683.63,16868.75,19342.74,18900.7,38977.8,50734.59,119842.29,125873.97,186725.53,187824.88,209898.02,166767.69,234954.88,248194.77,228688.25,266546.28,272663.47,262482.44,183729.16,237479.02,228174.92,200718.34,85923.31,128507.55,206190.78,189962.22
Arman Financial,,,,,,,1.94,1.12,0.51,,0.51,0.51,,0.53,0.8,2.86,1.45,1.99,2.2,2.7,6.21,6.52,10.91,16.02,11.1,70.93,83.74,107.02,175.5,220.0,347.5,516.69,840.28,1129.74
Acil Cott. Inds.,,,,,,,50.66,,,,,,,,,,,,,,33.09,31.02,6.21,1.77,1.55,1.77,3.1,3.99,,,,,,
Wellness Noni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,2.94,1.82,1.77,,
Maplle Infra,,,,,,,1.58,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Shilchar Tech.,,,,,,,,,,,,,,,,,22.86,34.29,42.44,36.56,24.86,30.1,23.22,15.43,17.3,38.94,87.63,163.3,147.26,125.73,29.68,78.11,133.71,575.77
Manappuram Fin.,,,,,,,,,,,,,,2.0,5.51,7.4,13.06,47.3,175.18,219.29,2540.58,5515.78,2557.1,1825.4,1812.79,2721.28,2939.99,8250.62,9204.7,10501.41,8006.31,12623.53,9615.04,10474.13
SKP Securities,,,,,,,3.15,0.68,1.77,1.01,3.06,2.27,2.27,3.64,4.04,7.32,11.08,16.84,19.75,6.26,14.05,11.27,9.89,13.43,9.78,11.77,16.02,18.55,27.65,22.02,14.3,16.51,25.33,46.1
Sindu Valley,,,,,,,3.5,,,,,1.47,1.75,,,,,1.03,,,,,,,,,,,,,,,,
Arihant Multi,,,,,,,,,,,,,,,,,,,,,,,0.98,10.56,854.9,713.93,,,,,,,,
Peoples Invest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,
IDream Film,,,,,,,,,,,,,,,,3.46,,,2.03,3.75,4.58,4.2,2.25,1.31,1.59,,,,,,,,,1.54
Beardsell,,,,,,,,,,,,,,,,,,,,,25.66,19.69,15.44,30.91,35.59,22.92,61.49,201.38,132.07,41.31,17.42,26.02,59.31,73.06
Dhar Textile,,,,,,,17.49,20.2,18.18,,,30.96,,2.93,6.63,5.57,2.4,2.4,2.51,,,,,,,,,,,,,,,
Sri Adhik. Bros.,,,,,,,6.0,7.0,10.88,68.45,859.67,59.33,136.33,55.27,,76.56,70.76,71.92,40.09,11.92,44.31,143.11,177.31,204.63,196.16,882.35,996.27,889.16,54.86,17.4,3.49,8.46,6.43,5.59
Anjani Synth.,,,,,,,10.26,,0.81,,,,3.38,,1.72,4.36,11.77,10.83,35.21,8.38,22.79,18.25,12.64,5.44,5.09,20.52,21.49,27.54,44.62,24.12,18.39,40.64,43.66,38.94
Deco-Mica,,,,,,,,1.05,,,,,,,,,,,,,,,,,4.26,3.1,7.43,9.56,15.14,9.11,,10.29,17.22,24.31
Mindvision Cap.,,,,,,,1.37,2.78,1.59,,,,,,0.74,4.11,10.28,7.9,44.63,28.25,35.78,38.0,10.23,5.24,11.13,6.81,,6.4,,,,,,
IEC Education,,,,,,,,,,52.47,96.39,12.95,6.06,2.8,2.78,4.85,2.6,2.91,22.72,17.73,52.65,30.98,16.36,6.41,7.4,4.97,4.94,5.84,5.62,1.8,,,,
Sahara One Media,,,,,0.11,,,0.42,,,46.41,571.9,503.96,313.99,372.04,504.56,654.77,879.72,519.52,263.42,377.74,326.83,307.88,166.86,141.88,162.01,154.69,161.48,90.64,42.63,20.26,72.23,52.53,
Vikas Ecotech,,,,,,,,,,,,,,,,,,,9.35,4.99,24.34,96.4,65.8,94.13,272.54,157.63,399.66,583.59,822.91,318.25,31.07,63.54,496.16,237.14
Gagan Polycot,,,,,,,1.41,0.71,,,,,,,,,,,,,,7.66,4.67,3.99,12.8,1.87,4.35,3.26,,1.72,2.56,1.56,,
Nalin Lease Fin.,,,,,,,2.12,2.53,1.79,,,,,,,1.66,1.44,1.71,2.25,2.05,1.45,5.22,,,3.51,,3.67,3.19,6.65,4.62,15.05,12.23,21.61,21.46
Rasi Electrodes,,,,,,,3.06,3.4,,,,,,,1.46,2.2,3.1,6.75,9.47,6.47,8.33,12.35,10.04,15.83,16.9,49.35,25.61,22.23,17.09,13.07,6.16,12.55,24.66,37.05
Presha Metall.,,,,,,,,,,,,,,,,,,,,,,21.45,,118.96,104.89,94.31,55.66,,,,,,,
Dhruva Cap.Serv.,,,,,,,3.59,,,,,,,,,,1.49,2.36,,,,11.5,15.81,4.66,,2.9,2.64,,,,,0.71,1.53,12.29
Unick Fix-A-Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15,11.74,13.3,24.11,20.76
Glance Finance,,,,,,,1.37,,,,0.76,,3.16,,0.25,0.82,1.98,1.52,2.34,1.99,1.69,4.13,6.08,6.62,6.28,8.55,10.75,12.28,12.45,13.21,6.43,11.83,14.58,10.85
Maya Agro Prod.,,,,,,,2.24,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Galada Finance,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,4.76,4.5,5.7,3.31,,3.15,4.97,2.67
Prima Industries,,,,,,,0.17,2.5,,,,,,,,,,,,,,,,,20.55,11.76,,7.84,17.37,,8.52,16.4,29.35,16.07
Nucleus Soft.,,,,,,,9.89,3.49,8.59,18.9,49.61,18.97,103.11,51.85,61.07,287.37,587.81,1544.82,620.34,164.55,445.57,273.93,201.43,234.3,702.73,554.41,625.33,793.24,1166.57,984.19,514.17,1398.6,1110.56,1709.48
Venmax Drugs,,,,,,,1.62,1.39,,,,,,,,,5.21,5.31,3.57,,,2.79,1.09,4.03,3.53,3.83,1.52,1.64,2.19,,,,,
Mysore Paper,,,,,,,98.53,96.07,29.56,24.63,52.86,82.22,23.49,41.59,72.49,112.9,107.55,96.02,87.82,49.22,92.14,75.61,61.23,40.9,45.06,,,,,,,,,
Nikki Glob.Fin.,,,,,,,2.39,,,,,1.37,,1.54,,0.92,1.01,3.59,1.71,2.57,29.96,78.23,43.21,203.87,48.22,17.39,5.85,4.52,3.87,2.19,1.94,,3.8,2.48
Martin Burn,,,,,,,,,,,,,,,,,,,28.14,6.35,12.12,14.52,10.47,5.69,9.13,,7.73,9.94,26.45,20.78,12.88,10.3,23.77,20.94
Shriram AMC,,,,,,,3.0,1.2,1.98,,2.01,,,,,,5.34,11.64,12.0,6.75,14.94,18.24,11.01,21.36,11.88,14.55,12.78,23.4,36.27,104.4,36.0,41.85,97.32,81.66
Virgo Polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunedison Infra.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,3.66,19.8,142.78,165.95
Elixir Capital,,,,,,,2.1,1.5,,2.06,2.25,1.47,4.89,0.5,1.43,2.96,3.71,6.86,12.84,4.02,8.91,10.61,13.78,15.02,10.9,36.77,21.14,19.89,26.48,20.76,21.32,16.59,22.01,19.84
Aneri Fincap,,,,,,,2.11,1.28,0.93,,,,,,,,,,,,,8.82,8.19,3.55,6.51,1.58,1.0,1.13,1.25,1.46,2.64,2.34,1.42,1.24
Radix Industries,,,,,,,3.66,3.27,4.24,,,,,,,,,,,,,,,71.5,380.0,293.0,122.0,77.0,62.5,75.75,96.35,40.67,120.88,117.93
Euro Asia Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.92,,,,1.2,2.99
Secund. Health.,,,,,,,,,,,,,,,,,,,16.22,,7.05,69.91,32.15,242.48,160.4,33.42,12.56,12.15,,,,,,
Oswal Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
Winsome Textile,,,,,,,,,,15.2,,,,,5.64,9.07,15.2,28.62,13.09,18.99,25.07,121.5,135.47,118.33,107.03,71.35,62.14,132.79,81.26,49.95,28.44,52.62,137.25,90.04
Lynx Machinery,,,,,,,0.54,,,,,,,,,,1.06,2.74,12.13,4.1,4.34,8.04,4.67,2.38,,,,2.64,2.48,,,,1.72,5.7
Parshwanath Corp,,,,,,,3.1,,,1.5,,,,,,,,,,2.1,10.19,22.29,5.6,3.6,3.44,5.32,3.75,5.38,3.73,,,7.83,9.4,8.87
Indian Infotech,,,,,,,,,,2.38,7.64,,,,,,,,,,,4.63,59.02,2262.67,589.0,72.24,16.09,24.13,19.11,19.11,19.11,49.27,416.31,127.71
Available Fin.,,,,,,,,2.3,,,,,,,,6.63,3.23,4.13,7.58,12.08,5.66,18.4,15.25,26.27,21.47,4.44,,5.23,8.29,8.56,,13.01,135.15,134.28
DHP India,,,,,,,,1.2,0.51,,,1.49,3.11,0.5,1.54,2.54,7.65,5.99,4.28,4.05,8.46,7.82,9.36,8.07,15.39,30.39,26.52,116.51,148.68,165.05,71.81,111.2,210.09,259.38
A K Spintex,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81,30.12,19.02,15.7,5.46,13.33,,
National Fitting,,,,,,,8.37,4.44,2.08,2.03,3.75,0.89,0.58,1.46,3.74,2.58,2.85,2.65,5.49,1.14,11.65,7.09,7.9,6.52,4.85,62.32,60.28,198.56,167.9,94.06,19.89,32.74,52.0,53.75
MV Cotspin,,,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Radhe Develop.,,,,,,,71.26,22.91,,29.52,34.1,,18.89,11.33,9.57,170.51,102.51,211.23,529.86,223.45,75.79,21.65,25.58,21.81,25.78,30.34,48.72,101.6,36.76,30.47,26.26,21.3,429.95,361.08
Paragon Finance,,,,,,,2.55,,0.9,0.3,,,,,,1.92,1.47,2.61,3.47,,3.83,6.59,6.95,4.7,4.22,6.8,3.06,5.7,6.48,5.11,4.85,7.54,6.61,12.62
Trishakti Elect.,,,,,,,1.8,0.9,,,,,,,,2.92,5.39,11.85,9.85,5.05,5.38,5.39,4.93,5.05,4.77,2.81,1.74,2.7,4.37,,3.95,3.97,20.46,12.41
Agrimas Chemi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bervin Invest.,,,,,,,3.25,2.21,,1.56,2.68,,,,,,,,,,3.82,5.75,2.72,9.68,11.8,,,,13.54,5.9,6.49,5.9,21.86,21.24
Special.Papers,,,,,,0.53,2.98,,,,,,,,5.88,4.33,9.64,10.73,20.81,7.17,,,,89.79,42.16,11.56,8.9,9.84,,,,,,
PNC Cap. Trust,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Hi-Tech,,,,,,,3.31,2.84,,1.42,5.97,0.91,0.66,,0.87,2.95,2.64,1.55,1.16,0.65,0.87,0.7,0.69,0.46,0.29,0.29,,,,,,,,
Mishtann Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.5,269.0,240.5,1190.0,773.0
RRIL,,,,,,,3.15,3.7,,,0.83,,,,,,,,,,,,1.19,9.43,272.63,407.57,183.19,39.15,19.61,3.92,7.77,85.44,161.82,179.28
Global Knitfab,,,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ind.Bank,,,,,,,,,,60.86,57.82,75.54,153.94,128.16,259.8,305.15,434.08,697.06,1258.51,579.74,2014.97,2582.28,2788.9,3286.02,2990.18,3409.13,2376.54,3858.07,4124.13,2993.21,1042.4,1734.88,1573.74,3059.59
Nutech Global,,,,,,,2.72,,,,,,,,,,,,,,3.06,2.83,2.64,,4.13,,,2.92,,,3.94,5.53,3.04,8.33
Chemiesynth(Vapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,6.14
Pratiksha Chem.,,,,,,,4.6,1.67,0.56,,2.06,,,,,1.34,1.87,2.99,2.5,0.66,1.84,1.78,1.11,1.19,1.26,1.39,1.55,3.12,,2.75,1.11,3.51,14.34,12.53
Country Condo,,,,,,,,14.42,,0.86,14.47,2.43,1.86,1.3,1.38,2.92,1.86,14.01,35.48,9.69,21.58,20.41,12.03,10.01,18.93,9.93,31.74,31.12,25.22,16.92,10.09,16.14,43.84,27.08
Lak. Fin. & Indl,,,,,,,,,,,,,,,,,,,,,,9.11,8.81,7.05,6.27,,10.43,18.6,27.14,22.68,11.99,25.23,29.37,35.25
Kinetic Trust,,,,,,,1.85,1.01,,,,,,,,,,,,,,,,,1.68,4.7,,,,2.87,,1.71,3.39,2.74
SRS Real INFRA.,,,,,,,,,,,,,,,,,,,,,,872.34,705.51,812.04,741.69,703.56,488.47,1141.77,,,,,,
Dynamic Micro,,,,,,,4.52,3.9,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
Integ. Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,7.95,16.63,4.99,4.16,7.41,22.16,10.77
High Street Fila,,,,,,,,1.64,2.59,2.26,,,,,,,,,,,,3.36,3.51,2.16,2.46,3.51,1.3,1.74,,,,,1.07,2.07
Madhuveer Com,,,,,,,,13.72,,,,,,,,,,,,,,,,2.69,3.8,2.16,1.33,,,1.21,,2.24,4.73,9.73
Sir Shadi Lal,,,,,,,,,,,,,,,,,,,54.68,28.3,70.3,33.55,17.54,16.14,12.02,10.76,21.89,50.4,21.0,20.82,15.23,18.66,89.75,64.05
Kretto Syscon,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,23.45,247.31,45.83,11.12,4.68,8.1,15.52,8.31
Tulive Developer,,,,,,,,,,,,,,,,,,,,,,53.59,31.88,32.35,30.28,58.05,58.78,54.64,,67.62,,41.36,,38.78
Sahara Housing,,,,,,,2.4,,,3.4,,6.42,10.5,4.53,12.66,42.45,32.1,26.85,194.22,38.68,94.78,59.89,105.42,28.88,32.9,33.36,25.2,51.14,41.58,28.0,14.7,24.78,29.75,29.65
Cindrella Fin.,,,,,,,,2.18,,,,,,,,1.25,1.53,2.14,2.62,3.72,3.37,1.67,1.03,0.83,,,,1.14,,1.33,,,4.48,4.16
Noble Polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,0.98,0.26,0.2,,,,
B2B Soft.Tech.,,,,,,,4.2,,,,51.49,27.97,10.99,5.5,4.95,4.4,10.56,8.67,11.54,7.99,7.35,14.31,9.26,5.54,5.1,16.14,12.18,11.76,16.81,10.67,,21.28,43.23,26.65
Emerald Leisures,,,,,,,,,,,,,,,,,,,,,,,8.99,21.86,24.0,37.44,15.1,16.58,19.4,22.96,21.84,30.14,52.64,39.05
Nam Securities,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,7.02,15.4,9.49,14.73,19.43,25.29,15.26,21.16
RoseLabs Ltd,,,,,,,,,,,,,,,,,,,,,,,,,12.05,10.06,,,,,,,,
Aryavan Enter.,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.95,9.76,,3.48,5.35,4.44,9.24
Exotic Coal,,,,,,,,,,,,,,,,,,,,,,15.73,,,,,,,,,,,,
Eastern Treads,,,,,,,3.49,2.8,4.47,4.22,,,,,,,,,,,9.22,7.82,6.07,10.23,7.35,24.06,48.13,59.36,41.1,22.5,8.84,28.78,20.3,15.46
Kanchi Karpooram,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.18,23.65,83.18,131.72,74.21,364.63,297.53,165.7
Pact Industries,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,11.14,21.1,19.12,9.53,14.57,11.97,14.13,8.87
Maruti Sec.,,,,,,,1.8,1.0,,,,,,,0.39,1.55,2.25,2.96,6.35,5.09,2.96,2.33,1.82,1.07,0.87,0.7,0.85,1.81,,1.62,0.91,0.75,2.93,3.4
Hawa Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,16.57,23.43,18.64,12.98,6.35,10.58,16.27,24.85
Inceptum Enterp.,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,54.27,4.3,,,,,,
B P Capital,,,,,,,,,,,,,,,,,,,,,,,,,2.71,2.43,4.41,5.9,,4.29,1.1,0.72,3.97,4.26
Zydus Wellness,,,,,,,2.79,2.51,,,6.56,,,,4.25,40.05,76.61,43.52,47.99,228.75,1491.3,2333.46,1486.03,1696.81,1943.15,3967.17,2903.49,3396.36,4583.3,7487.4,7479.04,12553.35,9549.59,9862.35
R J Shah & Co,,,,,,,,,,,,,,,,,,,8.98,,,,,7.22,,,,,,,,,11.52,
Charms Industrie,,,,,,,,0.31,,,0.78,,0.62,0.7,,1.6,0.67,0.88,0.76,0.41,1.52,2.47,2.14,1.77,1.8,1.01,0.89,2.02,0.55,1.09,0.97,0.74,,1.52
Polycon Intl.,,,,,,,10.43,,,8.65,6.78,,,5.49,5.56,6.08,6.44,6.26,4.0,3.32,4.69,6.31,6.11,,4.97,4.77,3.77,9.29,6.17,4.4,2.76,,5.46,
Gajanan Sec.Serv,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,,,,,,,9.47
Phoenix Mills,,,,,,,4.08,6.17,,,34.06,14.58,8.3,13.23,27.79,149.57,1195.91,1964.29,5124.71,1034.23,2697.83,2637.72,3038.23,3871.12,3577.07,5094.5,4590.43,5772.92,9082.84,10158.52,8778.82,13444.62,19625.53,23238.81
CG-VAK Software,,,,,,,,4.43,4.6,24.67,30.39,7.13,5.11,2.86,3.64,3.25,2.71,2.51,2.51,4.55,5.84,4.81,3.9,4.55,2.23,11.74,16.89,16.11,10.81,21.41,13.69,50.48,141.58,175.34
Emami,,,,,,,63.84,,,,,,,,348.97,475.75,1060.95,1198.23,1806.39,1270.97,4695.22,6051.24,6100.42,9091.62,9876.77,22823.72,21129.16,23946.23,24243.6,18157.41,7716.9,21676.71,19754.7,15810.82
Aaswa Trad.& Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choice Intl.,,,,,,,,,1.56,,4.74,2.8,1.2,0.56,1.67,0.74,1.53,3.66,4.83,5.01,48.65,60.83,23.66,51.22,34.12,29.11,43.02,54.73,250.06,139.43,152.14,350.25,1135.93,2818.68
Vikalp Securitie,,,,,,,,,,,,,,,,,,,,,,2.35,0.88,3.63,,,,,,3.73,,0.89,2.55,1.71
Kohinoor Broad.,,,,,,,,,,,,,,,,13.31,7.61,2.9,71.64,23.25,48.27,15.43,7.16,3.2,1.87,1.98,,,,,,,,
Prakash Woollen,,,,,,,14.0,9.29,2.04,,,,,,,,,,,,,,5.37,5.76,18.01,22.57,17.95,29.24,45.14,30.88,19.6,22.42,73.46,21.46
Gujarat Investa,,,,,,,2.1,1.05,,1.2,,1.65,1.8,,0.18,1.3,6.61,8.44,9.17,9.23,6.3,5.16,4.45,7.06,2.43,5.6,,3.0,2.94,,,2.7,3.3,6.79
Sunil Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,20.1,38.81,113.73,97.16,69.83,35.12,15.23,23.43,73.01,58.48
Ekam Leasing,,,,,,,,1.73,2.1,,,,,,,,,,,,,,,2.71,6.26,2.1,1.28,,1.19,2.49,,,2.55,3.3
ANS Industries,,,,,,,7.41,,10.19,,,,,,,,,,,18.52,7.31,7.55,7.78,8.66,,,25.0,,,,,16.81,12.18,9.95
The Byke Hospi.,,,,,,,1.53,1.14,,0.96,4.72,1.54,0.61,0.51,0.74,3.68,15.12,26.59,15.37,13.33,50.07,160.59,259.75,450.42,641.7,662.62,627.53,743.81,672.64,112.47,35.29,73.78,148.16,129.52
G G Automotive,,,,,,,10.45,11.16,,,,,2.37,15.18,,,,,,,,,,,,,,,,,,,19.24,24.35
Gemini Comm.,,,,,,,,,,,,8.83,5.89,4.05,5.65,52.1,165.67,351.01,229.88,128.79,248.25,221.82,228.77,26.89,21.06,10.16,35.93,20.44,,,,,,
Roselabs Finance,,,,,,,3.5,,,,,1.8,,1.05,8.5,2.68,2.09,2.2,11.47,5.6,8.3,6.65,4.77,14.0,15.25,24.7,42.75,39.75,22.05,14.25,11.74,30.95,16.38,14.49
Padam Cotton,,,,,,,1.74,3.29,,,,,,5.03,,4.12,2.71,10.75,4.51,,13.56,9.66,8.75,,8.52,,,,,3.98,,3.44,13.81,8.91
Jullundur Motor,,,,,,,,,,,,,,,,,,,,,,,,,,534.94,546.71,591.89,640.34,493.79,55.01,73.21,148.81,137.39
NBI Indl. Fin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.84,335.56,255.56,346.58,481.17,545.36,356.8
East Buildtech,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,,1.84,,,3.74,4.93
Upsurge Invest.,,,,,,,2.83,,0.05,1.03,12.44,2.33,2.75,1.42,2.38,5.08,5.57,6.98,7.46,5.87,8.43,30.68,47.12,50.0,23.56,30.0,36.74,22.35,67.11,29.92,16.91,34.62,68.93,50.21
Trident Tools,,,,,,,,,,,,,,,,,,,,,26.99,7.83,15.59,10.83,35.1,32.57,26.82,27.31,14.08,,,,,
Golech.Glob.Fin.,,,,,,,3.16,0.41,,,0.52,,,,,1.51,0.69,2.41,4.18,,6.19,6.6,6.66,3.25,3.96,5.71,6.33,3.29,7.35,4.4,3.89,3.63,3.5,10.41
Shree Mfg. Co.,,,,,,,,,,,,,,,,,,,,,,,,15.65,5.38,4.97,,2.72,3.47,,,2.86,6.12,9.46
Khandelwal Extra,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.89,2.87,1.55
Kiduja India,,,,,,,1.17,0.9,0.94,,1.23,,0.94,,0.21,0.67,3.4,7.95,15.35,4.05,5.93,7.68,5.69,,6.55,4.07,,2.35,,5.01,,3.88,17.34,8.66
Hisar Met.Inds.,,,,,,,,,,,,,,,,8.66,12.13,10.64,11.5,7.11,10.66,8.44,6.55,8.96,7.56,8.6,9.02,26.46,36.18,22.87,21.6,60.97,66.34,67.58
GCCL Infrastruct,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasti Finance,,,,,,,,,,,,,,,,,,4.81,3.56,0.9,7.17,50.92,74.81,54.09,83.25,21.84,15.56,8.62,6.86,6.32,5.38,4.49,5.9,4.57
Shri.City Union.,,,,,,,,,,,,,,,62.19,89.43,443.09,625.6,1452.74,1490.68,2194.06,2569.14,3324.75,5932.19,6529.4,12964.62,9890.06,15204.57,14121.62,12272.26,4884.22,8994.5,10824.48,
Tirupati Fincorp,,,,,,,,,,,,,,,,,,,,,,,,,,28.58,,,,,,,,
Srestha Finvest,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,62.63,98.78,15.51,56.6,15.92,13.94,35.64
Almondz Global,,,,,,,3.8,4.3,,,,,,1.43,4.51,10.39,33.58,92.32,109.98,40.63,134.18,71.48,32.1,18.89,16.02,27.18,26.66,45.81,59.79,63.41,47.75,76.36,254.17,152.94
Sugam Agro-Tech,,,,,,,1.35,,,,52.24,4.01,,,,,,,,,,,,,,,,,,,,,,
Kiran Print Pack,,,,,,,11.75,3.5,1.6,0.68,1.75,,,,1.49,1.65,3.0,2.37,3.28,3.33,3.02,3.51,4.02,3.65,3.84,2.28,1.92,1.82,2.43,,1.68,1.9,4.75,2.89
Tuni Text. Mills,,,,,,,,,,,,,,,,,,,,,,354.14,998.67,265.18,16.33,7.71,6.4,6.4,6.4,2.48,2.48,6.27,53.95,19.73
Shakti Pumps,,,,,,,5.13,14.5,,,11.33,9.75,,,,51.5,50.0,91.78,67.84,51.84,128.64,78.11,60.72,66.07,116.74,341.41,245.13,360.16,1004.57,728.5,217.07,947.96,842.73,743.02
Ravindra Energy,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.95,588.67,256.47,335.86,439.67,531.16,302.07,406.74,630.88,576.58
Neeraj Paper Mkt,,,,,,,,,,,,,,,,,,,,,,,,,,,18.48,6.39,18.48,14.85,,11.22,17.16,19.25
Pagaria Energy,,,,,,,4.67,1.88,,,19.85,1.81,0.83,0.35,0.9,1.05,0.59,0.6,0.83,1.05,8.02,5.02,3.85,2.87,0.87,1.32,0.79,1.92,1.18,1.25,0.51,1.67,1.83,1.12
Signet Industrie,,,,,,,,,,,,,,,,,,,,5.36,,256.87,310.44,681.29,903.72,320.21,961.71,503.37,194.28,111.86,47.39,88.9,111.86,98.61
W I Shipyard,,,,,,,59.89,22.12,5.1,12.25,30.29,7.83,14.29,9.53,12.59,81.91,42.75,56.33,,49.3,417.52,299.07,198.0,81.03,46.26,84.27,75.14,,,,,,,
Advent Computer,,,,,,,10.39,1.8,2.04,,107.35,10.57,11.4,4.28,3.51,6.3,4.59,23.27,7.22,4.15,4.93,4.72,4.64,3.16,6.38,5.16,7.32,4.26,3.92,3.16,2.16,,,
